"""","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)","平成25年度(2013)"
"  歳入決算額(百万円)","128139.481","127720.182","128881.315","125935.197","126234.0"
"","","","","",""
"普通税(百万円)","118864.775","118461.617","119779.246","116863.764","117548.686"
"　法定普通税(百万円)","118864.775","118461.617","119779.246","116863.764","117548.686"
"市町村民税(百万円)","51961.955","50028.257","50448.139","50742.934","50944.592"
"　　個人市町村民税(百万円)","42903.958","40565.89","39685.311","41388.527","41668.095"
"　　法人市町村民税(百万円)","9057.997","9462.367","10762.828","9354.407","9276.597"
"","","","","",""
"固定資産税(百万円)","58630.839","60013.781","60029.593","56815.389","56593.796"
"　　純固定資産税(百万円)","58277.498","59665.131","59563.119","56452.727","56240.826"
"土地(百万円)","23207.76","22605.401","21817.571","21089.154","20297.276"
"家屋(百万円)","23627.991","24275.516","24733.815","22642.168","23181.004"
"償却資産(百万円)","11441.747","12784.214","13011.733","12721.405","12762.546"
"　　交付金(百万円)","353.341","348.65","466.474","362.662","352.97"
"軽自動車税(百万円)","2253.714","2296.15","2323.312","2358.146","2396.162"
"市町村たばこ税(百万円)","6015.269","6122.899","6977.278","6836.767","7614.136"
"特別土地保有税(百万円)","2.998","0.53","0.924","110.528","0.0"
"　法定外普通税(百万円)","0.0","0.0","0.0","0.0","0.0"
"","","","","",""
"目的税(百万円)","9274.706","9258.565","9102.069","9071.433","8684.856"
"入湯税(百万円)","448.865","439.803","385.945","411.438","428.765"
"事業所税(百万円)","2064.73","2080.349","2061.989","2363.631","1997.222"
"都市計画税(百万円)","6761.111","6738.413","6654.135","6296.364","6258.869"
"","","","","",""
"旧法による税(百万円)","0.0","0.0","0.0","0.0","0.0"
